0	0.837
0.1	0.844
0.2	0.857
0.3	0.866
0.4	0.877
0.5	0.882
0.6	0.883
0.7	0.883
0.8	0.885
0.9	0.885
1	0.883
1.1	0.876
1.2	0.87
1.3	0.856
1.4	0.842
1.5	0.824
1.6	0.806
1.7	0.788
1.8	0.766
1.9	0.741
2	0.714
2.1	0.684
2.2	0.655
2.3	0.627
2.4	0.6
2.5	0.566
2.6	0.536
2.7	0.499
2.8	0.467
2.9	0.438
3	0.396
3.1	0.37
3.2	0.331
3.3	0.305
3.4	0.264
3.5	0.233
3.6	0.2
3.7	0.168
3.8	0.136
3.9	0.101
4	0.074
4.1	0.045
4.2	0.015
4.3	-0.023
4.4	-0.05
4.5	-0.08
4.6	-0.106
4.7	-0.136
4.8	-0.166
4.9	-0.193
5	-0.223
5.1	-0.249
5.2	-0.278
5.3	-0.307
5.4	-0.337
5.5	-0.362
5.6	-0.39
5.7	-0.416
5.8	-0.441
5.9	-0.469
6	-0.504
6.1	-0.529
6.2	-0.555
6.3	-0.577
6.4	-0.602
6.5	-0.626
6.6	-0.649
6.7	-0.667
6.8	-0.686
6.9	-0.701
7	-0.717
7.1	-0.732
7.2	-0.746
7.3	-0.758
7.4	-0.77
7.5	-0.771
7.6	-0.776
7.7	-0.777
7.8	-0.773
7.9	-0.766
8	-0.76
8.1	-0.745
8.2	-0.719
8.3	-0.689
8.4	-0.655
8.5	-0.616
8.6	-0.573
8.7	-0.528
8.8	-0.481
8.9	-0.431
9	-0.376
9.1	-0.32
9.2	-0.26
9.3	-0.201
9.4	-0.143
9.5	-0.089
9.6	-0.034
9.7	0.017
9.8	0.067
9.9	0.115
10	0.159
10.1	0.201
10.2	0.24
10.3	0.279
10.4	0.314
10.5	0.346
10.6	0.377
10.7	0.404
10.8	0.431
10.9	0.453
11	0.477
11.1	0.499
11.2	0.52
11.3	0.541
11.4	0.559
11.5	0.579
11.6	0.596
11.7	0.613
11.8	0.628
11.9	0.644
12	0.657
12.1	0.668
12.2	0.678
12.3	0.689
12.4	0.7
12.5	0.707
12.6	0.716
12.7	0.722
12.8	0.727
12.9	0.731
13	0.735
13.1	0.738
13.2	0.738
13.3	0.737
13.4	0.734
13.5	0.729
13.6	0.719
13.7	0.705
13.8	0.689
13.9	0.669
14	0.649
14.1	0.626
14.2	0.603
14.3	0.578
14.4	0.552
14.5	0.525
14.6	0.494
14.7	0.46
14.8	0.429
14.9	0.391
15	0.358
15.1	0.326
15.2	0.293
