6	32.000 	50.608 	75.592 
7	-32.500 	48.633 	10.125 
8	-51.725 	3.717 	-52.367 
9	-184.042 	-19.658 	-205.333 
10	-121.258 	-47.625 	-166.550 
11	-132.725 	-55.583 	-187.617 
12	-103.483 	-61.208 	-165.575 
13	-150.792 	-67.092 	-217.917 
14	-62.867 	-73.358 	-138.817 
15	33.158 	-81.400 	-48.642 
16	95.058 	-85.600 	10.208 
17	103.050 	-88.558 	16.142 
18	-50.375 	-91.758 	-139.467 
19	-57.300 	-94.600 	-151.592 
20	22.142 	-97.033 	-75.675 
21	176.608 	-101.383 	71.658 
22	125.325 	-104.183 	17.917 
23	143.308 	-104.733 	36.042 
24	117.525 	-104.517 	12.375 
25	68.150 	-102.792 	-33.108 
26	3.733 	-101.508 	-93.658 
27	3.417 	-100.583 	-96.342 
28	48.133 	-104.617 	-55.442 
29	26.467 	-101.342 	-78.417 
30	95.017 	-101.333 	-10.400 
31	46.408 	-101.183 	-58.367 
32	-71.758 	-98.050 	-175.433 
33	-142.317 	-97.383 	-245.917 
34	-147.467 	-100.917 	-253.642 
35	-81.983 	-104.942 	-188.925 
36	-28.175 	-107.133 	-134.400 
37	8.100 	-107.875 	-96.550 
38	18.108 	-107.658 	-82.617 
39	-43.733 	-106.200 	-139.017 
40	8.025 	-108.217 	-86.533 
41	44.167 	-113.092 	-49.892 
42	122.650 	-112.567 	30.150 
43	262.750 	-111.392 	171.567 
44	323.417 	-107.933 	237.217 
45	338.575 	-103.950 	256.667 
46	233.350 	-101.408 	152.833 
47	159.883 	-99.883 	77.375 
48	132.458 	-96.158 	49.383 
49	113.383 	-93.783 	27.958 
50	118.742 	-91.342 	30.383 
51	163.475 	-89.375 	71.583 
52	158.058 	-89.967 	61.108 
53	150.933 	-93.233 	49.975 
54	139.975 	-94.333 	36.733 
55	66.925 	-96.183 	-37.575 
56	40.458 	-97.250 	-63.825 
57	73.008 	-96.500 	-29.275 
58	152.333 	-98.408 	47.942 
59	153.425 	-101.042 	47.592 
60	129.350 	-101.675 	23.825 
61	95.008 	-101.167 	-8.025 
62	61.400 	-99.700 	-37.883 
63	28.400 	-96.875 	-66.017 
64	61.525 	-92.650 	-28.742 
65	127.758 	-93.192 	36.792 
66	151.475 	-93.892 	61.192 
67	178.167 	-94.017 	88.017 
68	169.492 	-94.050 	78.767 
69	110.250 	-91.225 	19.742 
70	26.100 	-88.883 	-63.192 
71	6.400 	-89.817 	-86.383 
72	25.017 	-90.758 	-70.008 
73	56.200 	-91.250 	-39.150 
74	49.350 	-91.925 	-46.683 
75	28.333 	-91.192 	-66.325 
76	-22.733 	-89.908 	-115.842 
77	-62.342 	-91.867 	-158.558 
78	-43.400 	-94.333 	-141.200 
79	-7.833 	-93.858 	-105.258 
80	11.283 	-92.825 	-87.133 
81	80.258 	-91.633 	-16.858 
82	114.000 	-89.583 	17.867 
83	78.433 	-91.000 	-18.492 
84	55.825 	-93.258 	-43.417 
85	50.142 	-94.392 	-50.800 
86	55.675 	-95.075 	-46.825 
87	60.225 	-97.475 	-45.775 
88	55.200 	-101.383 	-55.283 
89	54.933 	-107.317 	-63.233 
90	37.267 	-114.500 	-89.933 
91	4.325 	-119.067 	-128.342 
92	20.800 	-123.092 	-113.992 
93	28.000 	-125.808 	-107.817 
94	40.008 	-129.617 	-97.617 
95	70.017 	-137.892 	-74.700 
96	14.950 	-147.350 	-135.475 
97	0.867 	-149.717 	-151.775 
98	-20.467 	-149.908 	-172.933 
99	-39.250 	-149.117 	-190.092 
100	-67.908 	-145.508 	-214.825 
101	-73.300 	-142.942 	-216.842 
102	-33.308 	-144.875 	-178.467 
103	-0.067 	-141.183 	-145.058 
104	-26.208 	-140.400 	-171.267 
105	-85.658 	-140.267 	-230.808 
106	-106.500 	-136.925 	-250.242 
107	-119.617 	-133.575 	-261.092 
108	-70.492 	-136.183 	-215.700 
109	-39.417 	-138.992 	-186.092 
110	-25.258 	-139.708 	-171.567 
111	-29.400 	-139.083 	-175.683 
112	-37.833 	-137.700 	-180.875 
113	-84.317 	-135.608 	-222.575 
114	-105.950 	-138.850 	-248.208 
115	-117.233 	-147.175 	-262.467 
116	-128.500 	-149.367 	-276.642 
117	-119.300 	-150.517 	-267.425 
118	-87.158 	-149.967 	-233.717 
119	-77.825 	-147.983 	-223.067 
120	-81.392 	-149.633 	-230.492 
121	-104.192 	-154.400 	-256.908 
122	-94.717 	-154.892 	-248.933 
123	-98.775 	-155.433 	-252.867 
124	-114.625 	-153.942 	-268.758 
125	-109.125 	-151.825 	-262.683 
126	-146.992 	-149.950 	-298.925 
127	-177.175 	-150.325 	-332.258 
128	-162.433 	-150.542 	-317.583 
129	-127.717 	-150.433 	-282.667 
130	-56.483 	-149.800 	-209.450 
131	38.592 	-145.950 	-109.750 
132	66.683 	-145.383 	-77.150 
133	117.892 	-148.917 	-31.975 
134	93.217 	-149.792 	-56.983 
135	57.433 	-149.458 	-92.950 
136	-10.633 	-150.333 	-161.475 
137	-134.992 	-149.092 	-283.075 
138	-299.875 	-147.208 	-441.858 
139	-482.508 	-154.142 	-628.492 
140	-642.750 	-157.850 	-797.425 
141	-588.300 	-159.500 	-747.567 
142	-575.908 	-160.192 	-735.767 
143	-829.742 	-158.525 	-988.033 
144	-1010.958 	-158.517 	-1169.150 
145	-1098.417 	-159.817 	-1256.625 
146	-1045.433 	-163.267 	-1209.333 
147	-933.750 	-162.758 	-1099.150 
148	-792.567 	-161.683 	-955.892 
149	-588.825 	-159.558 	-751.717 
150	-341.475 	-157.767 	-502.892 
